,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
123,,50,17.99,7.495,0.570,0.355,,0,$0.92,$0.00,
124,,55,18.11,7.530,0.630,0.390,,0,$0.92,$0.00,
125,,60,18.24,7.555,0.695,0.415,,0,$0.92,$0.00,
126,,65,18.35,7.590,0.750,0.450,,0,$0.92,$0.00,
127,,71,18.47,7.635,0.810,0.495,,0,$0.92,$0.00,
128,W18,76,18.21,11.035,0.680,0.425,,0,$0.92,$0.00,
129,,86,18.39,11.090,0.770,0.480,,0,$0.92,$0.00,
130,,97,18.59,11.145,0.870,0.535,,0,$1.90,$0.00,
131,,106,18.73,11.200,0.940,0.590,,0,$1.90,$0.00,
132,,119,18.97,11.265,1.060,0.655,,0,$1.90,$0.00,
133,,130,19.25,11.160,1.200,0.670,,0,$1.90,$0.00,
134,,143,19.49,11.220,1.320,0.730,,0,$1.90,$0.00,
135,,158,19.72,11.300,1.440,0.810,,0,$1.90,$0.00,
136,,175,20.04,11.375,1.590,0.890,,0,$1.90,$0.00,
137,,192,20.35,11.455,1.750,0.960,,0,$1.90,$0.00,
138,,211,20.67,11.555,1.910,1.060,,0,$1.90,$0.00,
139,,234,21.06,11.650,2.110,1.160,,0,$1.90,$0.00,
140,,258,21.46,11.770,2.300,1.280,,0,$1.90,$0.00,
141,,283,21.85,11.890,2.500,1.400,,0,$1.90,$0.00,
142,,311,22.32,12.005,2.740,1.520,,0,$1.90,$0.00,
,,,,,,,,0,,$0.00,
143,W21,44,20.66,6.500,0.450,0.350,,0,$0.92,$0.00,
144,,50,20.83,6.530,0.535,0.380,,0,$0.92,$0.00,
145,I,57,21.06,6.555,0.650,0.405,,0,$0.92,$0.00,
146,W21,48,20.62,8.140,0.430,0.035,,0,$0.92,$0.00,
147,,55,20.80,8.220,0.522,0.375,,0,$0.92,$0.00,
148,,62,20.99,8.240,0.615,0.400,,0,$0.92,$0.00,
149,,68,21.13,8.270,0.685,0.430,,0,$0.92,$0.00,
150,,73,21.24,8.295,0.740,0.455,,0,$0.92,$0.00,
151,,83,21.43,8.355,0.835,0.515,,0,$0.92,$0.00,
152,,93,21.62,8.420,0.930,0.580,,0,$1.90,$0.00,
153,W21,101,21.36,12.290,0.800,0.500,,0,$1.90,$0.00,
154,,111,21.51,12.340,0.875,0.550,,0,$1.90,$0.00,
