#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
58,LS312314,Structural Size Standard,3 1/2 in,3 in,1/4 in,20 to 40 ft,1/4,0.2500,5.4,108,216,,0.00,$0.95,$0.00,
59,LS3123516,Structural Size Standard,3 1/2 in,3 in,5/16 in,20 to 40 ft,5/16,0.3125,6.6,132,264,,0.00,$0.95,$0.00,
60,LS312338,Structural Size Standard,3 1/2 in,3 in,3/8 in,20 to 40 ft,3/8,0.3750,7.9,158,316,,0.00,$1.00,$0.00,
61,LS312312,Structural Size Standard,3 1/2 in,3 in,1/2 in,20 to 40 ft,1/2,0.5000,10.2,204,408,,0.00,$1.25,$0.00,
62,LS31214,Structural Size Standard,3 1/2 in,3 1/2 in,1/4 in,20 to 40 ft,1/4,0.2500,5.8,116,232,,0.00,$0.95,$0.00,
63,LS312516,Structural Size Standard,3 1/2 in,3 1/2 in,5/16 in,20 to 40 ft,5/16,0.3125,7.2,144,288,,0.00,$0.95,$0.00,
64,LS31238,Structural Size Standard,3 1/2 in,3 1/2 in,3/8 in,20 to 40 ft,3/8,0.3750,8.5,170,340,,0.00,$1.00,$0.00,
65,LS312716,Structural Size Standard,3 1/2 in,3 1/2 in,7/16 in,20 to 40 ft,7/16,0.4375,9.8,196,392,,0.00,$1.10,$0.00,
66,LS31212,Structural Size Standard,3 1/2 in,3 1/2 in,1/2 in,20 to 40 ft,1/2,0.5000,11.1,222,444,,0.00,$1.25,$0.00,
67,LS4314,Structural Size Standard,4 in,3 in,1/4 in,20 to 40 ft,1/4,0.2500,5.8,116,232,,0.00,$0.95,$0.00,
68,LS43516,Structural Size Standard,4 in,3 in,5/16 in,20 to 40 ft,5/16,0.3125,7.2,144,288,,0.00,$0.95,$0.00,
69,LS4338,Structural Size Standard,4 in,3 in,3/8 in,20 to 40 ft,3/8,0.3750,8.5,170,340,,0.00,$1.00,$0.00,
70,LS4312,Structural Size Standard,4 in,3 in,1/2 in,20 to 40 ft,1/2,0.5000,11.1,222,444,,0.00,$1.25,$0.00,
71,LS4358,Structural Size Standard,4 in,3 in,5/8 in,20 to 40 ft,5/8,0.6250,13.6,272,544,,0.00,$1.25,$0.00,
72,LS431214,Structural Size Standard,4 in,3 1/2 in,1/4 in,20 to 40 ft,1/4,0.2500,6.2,124,248,,0.00,$0.95,$0.00,
73,LS4312516,Structural Size Standard,4 in,3 1/2 in,5/16 in,20 to 40 ft,5/16,0.3125,7.7,154,308,,0.00,$0.95,$0.00,
74,LS431238,Structural Size Standard,4 in,3 1/2 in,3/8 in,20 to 40 ft,3/8,0.3750,9.1,182,364,,0.00,$1.00,$0.00,
75,LS431212,Structural Size Standard,4 in,3 1/2 in,1/2 in,20 to 40 ft,1/2,0.5000,11.9,238,476,,0.00,$1.25,$0.00,
76,LS414,Structural Size Standard,4 in,4 in,1/4 in,20 to 40 ft,1/4,0.2500,6.6,132,264,,0.00,$0.85,$0.00,
77,LS4516,Structural Size Standard,4 in,4 in,5/16 in,20 to 40 ft,5/16,0.3125,8.2,164,328,,0.00,$0.95,$0.00,
78,LS438,Structural Size Standard,4 in,4 in,3/8 in,20 to 40 ft,3/8,0.3750,9.8,196,392,,0.00,$1.00,$0.00,
79,LS4716,Structural Size Standard,4 in,4 in,7/16 in,20 to 40 ft,7/16,0.4375,11.3,226,452,,0.00,$1.10,$0.00,
80,LS412,Structural Size Standard,4 in,4 in,1/2 in,20 to 40 ft,1/2,0.5000,12.8,256,512,,0.00,$1.25,$0.00,
81,LS458,Structural Size Standard,4 in,4 in,5/8 in,20 to 40 ft,5/8,0.6250,15.7,314,628,,0.00,$1.25,$0.00,
82,LS434,Structural Size Standard,4 in,4 in,3/4 in,20 to 40 ft,3/4,0.7500,18.5,370,740,,0.00,$1.25,$0.00,
83,LS5314,Structural Size Standard,5 in,3 in,1/4 in,20 to 40 ft,1/4,0.2500,6.6,132,264,,0.00,$0.95,$0.00,
84,LS53516,Structural Size Standard,5 in,3 in,5/16 in,20 to 40 ft,5/16,0.3125,8.2,164,328,,0.00,$0.95,$0.00,
85,LS5338,Structural Size Standard,5 in,3 in,3/8 in,20 to 40 ft,3/8,0.3750,9.8,196,392,,0.00,$1.00,$0.00,
86,LS5312,Structural Size Standard,5 in,3 in,1/2 in,20 to 40 ft,1/2,0.5000,12.8,256,512,,0.00,$1.25,$0.00,
87,LS531214,Structural Size Standard,5 in,3 1/2 in,1/4 in,Up to 60 ft,1/4,0.2500,,,,,0.00,$0.95,$0.00,
88,LS5312516,Structural Size Standard,5 in,3 1/2 in,5/16 in,Up to 60 ft,5/16,0.3125,,,,,0.00,$0.95,$0.00,
89,LS531238,Structural Size Standard,5 in,3 1/2 in,3/8 in,Up to 60 ft,3/8,0.3750,,,,,0.00,$1.00,$0.00,
90,LS531212,Structural Size Standard,5 in,3 1/2 in,1/2 in,Up to 60 ft,1/2,0.5000,,,,,0.00,$1.25,$0.00,
