#,Item #,Type,Materials,Width,Height,Average Wall Thickness,,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,,,,
,Item #,Type,Materials,Width,Height,Gauge,Decimal,Weight Per Foot,ft.,lb.,$,$,,,,,
107,TS129334,Square Tube,Carbon Steel,12 in,12 in,5/8 in,0.625,93.34,,0.000,$2.00,$0.00,,,,,
108,TS1213033,Square Tube,Carbon Steel,12 in,12 in,3/4 in,0.750,130.30,,0.000,$2.00,$0.00,,,,,
109,TS145736,Square Tube,Carbon Steel,14 in,14 in,5/16 in,0.313,57.36,,,,,,,,,
110,TS146831,Square Tube,Carbon Steel,14 in,14 in,3/8 in,0.375,68.31,,,,,,,,,
111,TS148968,Square Tube,Carbon Steel,14 in,14 in,1/2 in,0.500,89.68,,,,,,,,,
112,TS1411036,Square Tube,Carbon Steel,14 in,14 in,5/8 in,0.625,110.36,,,,,,,,,
113,TS1414096,Square Tube,Carbon Steel,14 in,14 in,3/4 in,,,,,,,,,,,
114,TS1414961,Square Tube,Carbon Steel,14 in,14 in,7/8 in,,,,,,,,,,,
115,TS1416818,Square Tube,Carbon Steel,14 in,14 in,1 in,,,,,,,,,,,
116,TS166587,Square Tube,Carbon Steel,16 in,16 in,5/16 in,0.313,65.87,,,,,,,,,
117,TS167852,Square Tube,Carbon Steel,16 in,16 in,3/8 in,0.375,78.52,,,,,,,,,
118,TS1610330,Square Tube,Carbon Steel,16 in,16 in,1/2 in,0.500,103.30,,,,,,,,,
119,TS1612737,Square Tube,Carbon Steel,16 in,16 in,5/8 in,0.625,127.37,,,,,,,,,
120,TS1615075,Square Tube,Carbon Steel,16 in,16 in,3/4 in,,,,,,,,,,,
121,TS1617343,Square Tube,Carbon Steel,16 in,16 in,7/8 in,,,,,,,,,,,
122,TS1619540,Square Tube,Carbon Steel,16 in,16 in,1 in,,,,,,,,,,,
123,TS188873,Square Tube,Carbon Steel,18 in,18 in,3/8 in,,,,,,,,,,,
124,TS1811691,Square Tube,Carbon Steel,18 in,18 in,1/2 in,,,,,,,,,,,
125,TS1814439,Square Tube,Carbon Steel,18 in,18 in,5/8 in,,,,,,,,,,,
126,TS1817116,Square Tube,Carbon Steel,18 in,18 in,3/4 in,,,,,,,,,,,
127,TS1819724,Square Tube,Carbon Steel,18 in,18 in,7/8 in,,,,,,,,,,,
128,TS1822263,Square Tube,Carbon Steel,18 in,18 in,1 in,,,,,,,,,,,
129,TS209894,Square Tube,Carbon Steel,20 in,20 in,3/8 in,,,,,,,,,,,
130,TS2013052,Square Tube,Carbon Steel,20 in,20 in,1/2 in,,,,,,,,,,,
131,TS2016140,Square Tube,Carbon Steel,20 in,20 in,5/8 in,,,,,,,,,,,
132,TS2019158,Square Tube,Carbon Steel,20 in,20 in,3/4 in,,,,,,,,,,,
133,TS2022106,Square Tube,Carbon Steel,20 in,20 in,7/8 in,,,,,,,,,,,
134,TS2024985,Square Tube,Carbon Steel,20 in,20 in,1 in,,,,,,,,,,,
135,TS2214413,Square Tube,Carbon Steel,22 in,22 in,1/2 in,,,,,,,,,,,
136,TS2217841,Square Tube,Carbon Steel,22 in,22 in,5/8 in,,,,,,,,,,,
137,TS2221200,Square Tube,Carbon Steel,22 in,22 in,3/4 in,,,,,,,,,,,
138,TS2224488,Square Tube,Carbon Steel,22 in,22 in,7/8 in,,,,,,,,,,,
139,TS2227707,Square Tube,Carbon Steel,22 in,22 in,1 in,,,,,,,,,,,
140,TR112105,Rectangle Tube,Carbon Steel,1 1/2 in,1 in,16 gauge,,,,,,,,,,,
141,TR112132,Rectangle Tube,Carbon Steel,1 1/2 in,1 in,14 gauge,,,,,,,,,,,
142,TR112184,Rectangle Tube,Carbon Steel,1 1/2 in,1 in,1/8 in,,,,,,,,,,,
143,TR2127,Rectangle Tube,Carbon Steel,2 in,1 in,16 gauge,,,,,,,,,,,
144,TR2160,Rectangle Tube,Carbon Steel,2 in,1 in,14 gauge,,,,,,,,,,,
145,TR2225,Rectangle Tube,Carbon Steel,2 in,1 in,1/8 in,,,,,,,,,,,
146,TR2340,Rectangle Tube,Carbon Steel,2 in,1 in,3/16 in,,,,,,,,,,,
147,TR2149,Rectangle Tube,Carbon Steel,2 in,1 1/2 in,16 gauge,,,,,,,,,,,
148,TR2188,Rectangle Tube,Carbon Steel,2 in,1 1/2 in,14 gauge,,,,,,,,,,,
149,TR2263,Rectangle Tube,Carbon Steel,2 in,1 1/2 in,1/8 in,,,,,,,,,,,
150,TR2368,Rectangle Tube,Carbon Steel,2 in,1 1/2 in,3/16 in,,,,,,,,,,,
151,TR212149,Rectangle Tube,Carbon Steel,2 1/2 in,1 in,16 gauge,,,,,,,,,,,
152,TR212188,Rectangle Tube,Carbon Steel,2 1/2 in,1 in,14 gauge,,,,,,,,,,,
153,TR212266,Rectangle Tube,Carbon Steel,2 1/2 in,1 in,1/8 in,,,,,,,,,,,
154,TR212169,Rectangle Tube,Carbon Steel,2 1/2 in,1 1/2 in,16 gauge,,,,,,,,,,,
155,TR212216,Rectangle Tube,Carbon Steel,2 1/2 in,1 1/2 in,14 gauge,,,,,,,,,,,
156,TR212306,Rectangle Tube,Carbon Steel,2 1/2 in,1 1/2 in,1/8 in,,,,,,,,,,,
157,TR212432,Rectangle Tube,Carbon Steel,2 1/2 in,1 1/2 in,3/16 in,,,,,,,,,,,
158,TR212541,Rectangle Tube,Carbon Steel,2 1/2 in,1 1/2 in,1/4 in,,,,,,,,,,,
159,TR3171,Rectangle Tube,Carbon Steel,3 in,1 in,16 gauge,,,,,,,,,,,
160,TR3216,Rectangle Tube,Carbon Steel,3 in,1 in,14 gauge,,,,,,,,,,,
161,TR3306,Rectangle Tube,Carbon Steel,3 in,1 in,1/8 in,,,,,,,,,,,
162,TR3431,Rectangle Tube,Carbon Steel,3 in,1 in,3/16 in,,,,,,,,,,,
163,TR3541,Rectangle Tube,Carbon Steel,3 in,1 in,1/4 in,,,,,,,,,,,
164,TR3193,Rectangle Tube,Carbon Steel,3 in,1 1/2 in,16 gauge,,,,,,,,,,,
165,TR3245,Rectangle Tube,Carbon Steel,3 in,1 1/2 in,14 gauge,,,,,,,,,,,
166,TR3348,Rectangle Tube,Carbon Steel,3 in,1 1/2 in,1/8 in,,,,,,,,,,,
167,TR3497,Rectangle Tube,Carbon Steel,3 in,1 1/2 in,3/16 in,,,,,,,,,,,
168,TR3626,Rectangle Tube,Carbon Steel,3 in,1 1/2 in,1/4 in,,,,,,,,,,,
169,TR3215,Rectangle Tube,Carbon Steel,3 in,2 in,16 gauge,,,,,,,,,,,
170,TR3273,Rectangle Tube,Carbon Steel,3 in,2 in,14 gauge,,,,,,,,,,,
171,TR3390,Rectangle Tube,Carbon Steel,3 in,2 in,1/8 in,,,,,,,,,,,
172,TR3559,Rectangle Tube,Carbon Steel,3 in,2 in,3/16 in,,,,,,,,,,,
173,TR3711,Rectangle Tube,Carbon Steel,3 in,2 in,1/4 in,,,,,,,,,,,
174,TR3845,Rectangle Tube,Carbon Steel,3 in,2 in,5/16 in,,,,,,,,,,,
175,TR3301,Rectangle Tube,Carbon Steel,3 in,2 1/2 in,14 gauge,,,,,,,,,,,
176,TR3429,Rectangle Tube,Carbon Steel,3 in,2 1/2 in,1/8 in,,,,,,,,,,,
177,TR3629,Rectangle Tube,Carbon Steel,3 in,2 1/2 in,3/16 in,,,,,,,,,,,
178,TR3796,Rectangle Tube,Carbon Steel,3 in,2 1/2 in,1/4 in,,,,,,,,,,,
179,TR312215,Rectangle Tube,Carbon Steel,3 1/2 in,1 1/2 in,16 gauge,,,,,,,,,,,
180,TR312275,Rectangle Tube,Carbon Steel,3 1/2 in,1 1/2 in,14 gauge,,,,,,,,,,,
181,TR312390,Rectangle Tube,Carbon Steel,3 1/2 in,1 1/2 in,1/8 in,,,,,,,,,,,
182,TR312559,Rectangle Tube,Carbon Steel,3 1/2 in,1 1/2 in,3/16 in,,,,,,,,,,,
183,TR312711,Rectangle Tube,Carbon Steel,3 1/2 in,1 1/2 in,1/4 in,,,,,,,,,,,
184,TR312301,Rectangle Tube,Carbon Steel,3 1/2 in,2 in,14 gauge,,,,,,,,,,,
185,TR312429,Rectangle Tube,Carbon Steel,3 1/2 in,2 in,1/8 in,,,,,,,,,,,
186,TR312629,Rectangle Tube,Carbon Steel,3 1/2 in,2 in,3/16 in,,,,,,,,,,,
187,TR312259,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,16 gauge,,,,,,,,,,,
188,TR312326,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,14 gauge,,,,,,,,,,,
189,TR312475,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,1/8 in,,,,,,,,,,,
190,TR312687,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,3/16 in,,,,,,,,,,,
191,TR312881,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,1/4 in,,,,,,,,,,,
192,TR3121058,Rectangle Tube,Carbon Steel,3 1/2 in,2 1/2 in,5/16 in,,,,,,,,,,,
193,TR4259,Rectangle Tube,Carbon Steel,4 in,2 in,16 gauge,,,,,,,,,,,
194,TR4329,Rectangle Tube,Carbon Steel,4 in,2 in,14 gauge,,,,,,,,,,,
195,TR4475,Rectangle Tube,Carbon Steel,4 in,2 in,1/8 in,,,,,,,,,,,
196,TR4687,Rectangle Tube,Carbon Steel,4 in,2 in,3/16 in,,,,,,,,,,,
197,TR4881,Rectangle Tube,Carbon Steel,4 in,2 in,1/4 in,,,,,,,,,,,
198,TR41058,Rectangle Tube,Carbon Steel,4 in,2 in,5/16 in,,,,,,,,,,,
199,TR41217,Rectangle Tube,Carbon Steel,4 in,2 in,3/8 in,,,,,,,,,,,
200,TR4355,Rectangle Tube,Carbon Steel,4 in,2 1/2 in,14 gauge,,,,,,,,,,,
201,TR4815,Rectangle Tube,Carbon Steel,4 in,3 in,3/16 in,,,,,,,,,,,
202,TR41051,Rectangle Tube,Carbon Steel,4 in,3 in,1/4 in,,,,,,,,,,,
203,TR41270,Rectangle Tube,Carbon Steel,4 in,3 in,5/16 in,,,,,,,,,,,
204,TR41471,Rectangle Tube,Carbon Steel,4 in,3 in,3/8 in,,,,,,,,,,,
205,TR412355,Rectangle Tube,Carbon Steel,4 1/2 in,2 in,14 gauge,,,,,,,,,,,
206,TR412511,Rectangle Tube,Carbon Steel,4 1/2 in,2 in,1/8 in,,,,,,,,,,,
207,TR412748,Rectangle Tube,Carbon Steel,4 1/2 in,2 in,3/16 in,,,,,,,,,,,
208,TR412965,Rectangle Tube,Carbon Steel,4 1/2 in,2 in,1/4 in,,,,,,,,,,,
209,TR5380,Rectangle Tube,Carbon Steel,5 in,2 in,14 gauge,0.083,3.80,,0.000,$0.95,$0.00,,,,,
210,TR5561,Rectangle Tube,Carbon Steel,5 in,2 in,1/8 in,0.125,5.61,,0.000,$0.95,$0.00,,,,,
211,TR5815,Rectangle Tube,Carbon Steel,5 in,2 in,3/16 in,0.188,8.15,,0.000,$0.95,$0.00,,,,,
212,TR51051,Rectangle Tube,Carbon Steel,5 in,2 in,1/4 in,0.250,10.51,,0.000,$0.95,$0.00,,,,,
213,TR51270,Rectangle Tube,Carbon Steel,5 in,2 in,5/16 in,0.313,12.70,,0.000,$0.95,$0.00,,,,,
214,TR51471,Rectangle Tube,Carbon Steel,5 in,2 in,3/8 in,0.375,14.71,,0.000,$0.95,$0.00,,,,,
215,TR5603,Rectangle Tube,Carbon Steel,5 in,2 1/2 in,1/8 in,0.125,6.03,,0.000,$0.95,$0.00,,,,,
216,TR5878,Rectangle Tube,Carbon Steel,5 in,2 1/2 in,3/16 in,0.188,8.78,,0.000,$0.95,$0.00,,,,,
217,TR51136,Rectangle Tube,Carbon Steel,5 in,2 1/2 in,1/4 in,0.250,11.36,,0.000,$0.95,$0.00,,,,,
