#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
116,TP1480,14 in,80,14.000 in,0.875 in,141.480,,0.000,,$0.00,,
117,TP14100,14 in,100,14.000 in,1.000 in,160.350,,0.000,,$0.00,,
118,TP14120,14 in,120,14.000 in,1.218 in,192.300,,0.000,,$0.00,,
119,TP14140,14 in,140,14.000 in,1.437 in,223.500,,0.000,,$0.00,,
120,TP14160,14 in,160,14.000 in,1.593 in,245.100,,0.000,,$0.00,,
121,TP1610,16 in,10,16.000 in,0.250 in,47.390,,0.000,,$0.00,,
122,TP1620,16 in,20,16.000 in,0.312 in,59.030,,0.000,,$0.00,,
123,TP16STD,16 in,Std,16.000 in,0.375 in,70.590,,0.000,,$0.00,,
124,TP1630,16 in,30,16.000 in,0.437 in,82.060,,0.000,,$0.00,,
125,TP16Ex,16 in,Ex Hvy,16.000 in,0.500 in,93.450,,0.000,,$0.00,,
126,TP1640,16 in,40,16.000 in,0.562 in,104.800,,0.000,,$0.00,,
127,TP1660,16 in,60,16.000 in,0.750 in,138.300,,0.000,,$0.00,,
128,TP16-NSW,16 in,Non-scheduled wall,16.000 in,0.875 in,160.190,,0.000,,$0.00,,
129,TP1680,16 in,80,16.000 in,1.000 in,181.730,,0.000,,$0.00,,
130,TP16100,16 in,100,16.000 in,1.156 in,208.000,,0.000,,$0.00,,
131,TP16120,16 in,120,16.000 in,1.375 in,244.100,,0.000,,$0.00,,
132,TP16140,16 in,140,16.000 in,1.562 in,274.200,,0.000,,$0.00,,
133,TP16160,16 in,160,16.000 in,1.781 in,308.500,,0.000,,$0.00,,
134,TP1810,18 in,10,18.000 in,0.250 in,52.730,,0.000,,$0.00,,
135,TP1820STD,18 in,20 STD,18.000 in,0.375 in,78.600,,0.000,,$0.00,,
136,TP1830,18 in,30 Ex Hvy,18.000 in,0.500 in,104.100,,0.000,,$0.00,,
137,TP1840,18 in,40,18.000 in,0.593 in,122.900,,0.000,,$0.00,,
138,TP18-NSW,18 in,Non-scheduled wall,18.000 in,0.750 in,154.340,,0.000,,$0.00,,
139,TP18-NSW,18 in,Non-scheduled wall,18.000 in,0.875 in,178.890,,0.000,,$0.00,,
140,TP1860,18 in,60,18.000 in,0.812 in,166.400,,0.000,,$0.00,,
141,TP1880,18 in,80,18.000 in,1.000 in,203.110,,0.000,,$0.00,,
142,TP18100,18 in,100,18.000 in,1.281 in,256.100,,0.000,,$0.00,,
143,TP18120,18 in,120,18.000 in,1.500 in,296.400,,0.000,,$0.00,,
144,TP18140,18 in,140,18.000 in,1.750 in,341.100,,0.000,,$0.00,,
145,TP18160,18 in,160,18.000 in,1.968 in,379.000,,0.000,,$0.00,,
146,TP2010,20 in,10,20.000 in,0.250 in,36.710,,0.000,,$0.00,,
147,TP2020,20 in,20,20.000 in,0.312 in,45.680,,0.000,,$0.00,,
148,TP2030STD,20 in,30 STD,20.000 in,0.375 in,54.570,,0.000,,$0.00,,
149,TP2040,20 in,40,20.000 in,0.437 in,63.370,,0.000,,$0.00,,
150,TP20Ex,20 in,Ex Hvy,20.000 in,0.500 in,72.090,,0.000,,$0.00,,
151,TP2060,20 in,60,20.000 in,0.593 in,84.910,,0.000,,$0.00,,
152,TP20-NSW,20 in,Non-scheduled wall,20.000 in,0.875 in,122.770,,0.000,,$0.00,,
153,TP2080,20 in,80,20.000 in,0.750 in,106.230,,0.000,,$0.00,,
154,TP20100,20 in,100,20.000 in,0.937 in,130.700,,0.000,,$0.00,,
155,TP20120,20 in,120,20.000 in,1.000 in,139.970,,0.000,,$0.00,,
156,TP20140,20 in,140,20.000 in,1.250 in,170.200,,0.000,,$0.00,,
157,TP20160,20 in,160,20.000 in,1.406 in,189.100,,0.000,,$0.00,,
158,TP2210,22 in,10,22.000 in,0.250 in,58.070,,0.000,,$0.00,,
159,TP2220STD,22 in,20 STD,22.000 in,0.375 in,86.610,,0.000,,$0.00,,
